Step,Car_X,Car_Y,Lidar_Range,Lidar_Bearing
1,0,0.1,2.0930536,0.19252099
1,0,0.1,1.5743233,0.21002291
2,0,0.2,1.5953823,0.21002291
2,0,0.2,1.5756227,0.22752482
3,0,0.30000000000000004,3.6592956,0.21002291
3,0,0.30000000000000004,1.5756227,0.22752482
3,0,0.30000000000000004,1.5786488,0.24502672
4,0,0.4,1.5953823,0.21002291
4,0,0.4,1.5756227,0.22752482
5,0,0.5,3.6403759,0.21002291
5,0,0.5,1.5476227,0.22752482
5,0,0.5,1.5501323,0.24502672
6,0,0.6000000000000001,1.5691442,0.21002291
6,0,0.6000000000000001,1.5476227,0.22752482
7,0,0.7000000000000001,1.4634455,0.22752482
7,0,0.7000000000000001,1.4616661,0.24502672
8,0,0.8,1.3579471,0.22752482
8,0,0.8,1.3482997,0.24502672
8,0,0.8,1.3547392,0.26252863
8,0,0.8,2.8714437,0.28003055
9,0,0.9,1.3577805,0.22752482
9,0,0.9,1.3481803,0.24502672
9,0,0.9,2.2239847,0.26252863
10,0,1.0,1.3359637,0.22752482
10,0,1.0,1.2186261,0.24502672
10,0,1.0,1.2141674,0.26252863
10,0,1.0,1.2228749,0.28003055
11,0,1.1,1.3891244,0.22752482
11,0,1.1,1.2186261,0.24502672
11,0,1.1,1.2141674,0.26252863
11,0,1.1,1.2228749,0.28003055
11,0,1.1,2.6445518,0.29753244
12,0,1.2000000000000002,1.3628608,0.26252863
12,0,1.2000000000000002,1.0601687,0.28003055
12,0,1.2000000000000002,1.0659031,0.29753244
13,0,1.3,2.143156,0.24502672
13,0,1.3,0.91814554,0.26252863
13,0,1.3,0.90464234,0.28003055
13,0,1.3,0.902,0.29753244
13,0,1.3,0.90521395,0.31503436
13,0,1.3,2.0793307,0.33253628
14,0,1.4000000000000001,1.5901291,0.26252863
14,0,1.4000000000000001,0.90639347,0.28003055
14,0,1.4000000000000001,0.90249896,0.29753244
14,0,1.4000000000000001,0.9052806,0.31503436
