Step,Car_X,Car_Y,Lidar_Range,Lidar_Bearing
1,0,0.1,2.0930536,0.19252099
1,0,0.1,1.5743233,0.21002291
2,0,0.2,3.7976792,0.19252099
2,0,0.2,1.5930644,0.21002291
2,0,0.2,1.574,0.22752482
2,0,0.2,1.5786488,0.24502672
2,0,0.2,3.2292957,0.26252863
3,0,0.30000000000000004,3.6592956,0.21002291
3,0,0.30000000000000004,1.5756227,0.22752482
3,0,0.30000000000000004,1.5786488,0.24502672
4,0,0.4,3.7976792,0.19252099
4,0,0.4,1.5930644,0.21002291
4,0,0.4,1.574,0.22752482
4,0,0.4,1.5786488,0.24502672
4,0,0.4,3.2292957,0.26252863
5,0,0.5,1.5953823,0.21002291
5,0,0.5,1.5756227,0.22752482
6,0,0.6000000000000001,3.823303,0.19252099
6,0,0.6000000000000001,1.5933822,0.21002291
6,0,0.6000000000000001,1.574,0.22752482
6,0,0.6000000000000001,1.5786488,0.24502672
6,0,0.6000000000000001,3.2292957,0.26252863
7,0,0.7000000000000001,1.5953823,0.21002291
7,0,0.7000000000000001,1.5756227,0.22752482
8,0,0.8,3.6465926,0.21002291
8,0,0.8,1.5756227,0.22752482
8,0,0.8,1.5786488,0.24502672
9,0,0.9,1.5953823,0.21002291
9,0,0.9,1.5756227,0.22752482
10,0,1.0,3.6465926,0.21002291
10,0,1.0,1.5756227,0.22752482
10,0,1.0,1.5786488,0.24502672
11,0,1.1,1.5950156,0.21002291
11,0,1.1,1.5755961,0.22752482
12,0,1.2000000000000002,3.6465926,0.21002291
12,0,1.2000000000000002,1.5756227,0.22752482
12,0,1.2000000000000002,1.5786488,0.24502672
13,0,1.3,1.5950645,0.21002291
13,0,1.3,1.5756227,0.22752482
14,0,1.4000000000000001,3.6592956,0.21002291
14,0,1.4000000000000001,1.5756227,0.22752482
14,0,1.4000000000000001,1.5786488,0.24502672
15,0,1.5,1.5950645,0.21002291
15,0,1.5,1.5756227,0.22752482
16,0,1.6,3.6592956,0.21002291
