Step,Car_X,Car_Y,Lidar_Range,Lidar_Bearing
1,0,0.1,2.0930536,0.19252099
1,0,0.1,1.5743233,0.21002291
2,0,0.2,1.5953823,0.21002291
2,0,0.2,1.5756227,0.22752482
3,0,0.30000000000000004,3.7976792,0.19252099
3,0,0.30000000000000004,1.5930644,0.21002291
3,0,0.30000000000000004,1.574,0.22752482
3,0,0.30000000000000004,1.5786488,0.24502672
3,0,0.30000000000000004,3.2292957,0.26252863
4,0,0.4,3.6592956,0.21002291
4,0,0.4,1.5756227,0.22752482
4,0,0.4,1.5786488,0.24502672
5,0,0.5,3.7976792,0.19252099
5,0,0.5,1.5930644,0.21002291
5,0,0.5,1.574,0.22752482
5,0,0.5,1.5786488,0.24502672
5,0,0.5,3.2292957,0.26252863
6,0,0.6000000000000001,3.684868,0.21002291
6,0,0.6000000000000001,1.5154455,0.22752482
6,0,0.6000000000000001,1.5144992,0.24502672
7,0,0.7000000000000001,3.5671687,0.22752482
7,0,0.7000000000000001,1.4088496,0.24502672
7,0,0.7000000000000001,1.4207596,0.26252863
8,0,0.8,1.4154243,0.22752482
8,0,0.8,1.4088496,0.24502672
8,0,0.8,2.606453,0.26252863
9,0,0.9,3.5954902,0.22752482
9,0,0.9,1.296,0.24502672
9,0,0.9,1.2977349,0.26252863
10,0,1.0,1.5736526,0.22752482
10,0,1.0,1.1807512,0.24502672
10,0,1.0,1.1760558,0.26252863
10,0,1.0,1.1797557,0.28003055
10,0,1.0,2.333469,0.29753244
11,0,1.1,1.2723832,0.24502672
11,0,1.1,1.1741116,0.26252863
11,0,1.1,1.8434182,0.28003055
12,0,1.2000000000000002,1.411547,0.22752482
12,0,1.2000000000000002,1.1804512,0.24502672
12,0,1.2000000000000002,1.1741116,0.26252863
12,0,1.2000000000000002,1.8546971,0.28003055
12,0,1.2000000000000002,2.352749,0.29753244
13,0,1.3,1.2723832,0.24502672
13,0,1.3,1.1741098,0.26252863
13,0,1.3,1.7390645,0.28003055
