Step,Car_X,Car_Y,Lidar_Range,Lidar_Bearing
1,0,0.1,1.5956476,0.19252099
1,0,0.1,1.574,0.21002291
1,0,0.1,1.5764544,0.22752482
2,0,0.2,1.5953823,0.21002291
2,0,0.2,1.5756227,0.22752482
3,0,0.30000000000000004,3.6592956,0.21002291
3,0,0.30000000000000004,1.5756227,0.22752482
3,0,0.30000000000000004,1.5786488,0.24502672
4,0,0.4,1.5953823,0.21002291
4,0,0.4,1.5756227,0.22752482
5,0,0.5,3.6592956,0.21002291
5,0,0.5,1.5756227,0.22752482
5,0,0.5,1.5786488,0.24502672
6,0,0.6000000000000001,1.5570918,0.21002291
6,0,0.6000000000000001,1.5175122,0.22752482
7,0,0.7000000000000001,3.6875303,0.21002291
7,0,0.7000000000000001,1.5194455,0.22752482
7,0,0.7000000000000001,1.5184991,0.24502672
8,0,0.8,3.7252998,0.21002291
8,0,0.8,1.4014243,0.22752482
8,0,0.8,1.3945571,0.24502672
8,0,0.8,1.4030588,0.26252863
8,0,0.8,2.913215,0.28003055
9,0,0.9,1.243951,0.24502672
9,0,0.9,1.2426232,0.26252863
10,0,1.0,1.3615719,0.22752482
10,0,1.0,1.2459003,0.24502672
10,0,1.0,1.2427441,0.26252863
10,0,1.0,2.1984649,0.28003055
11,0,1.1,1.6867199,0.22752482
11,0,1.1,1.1283852,0.24502672
11,0,1.1,1.1181768,0.26252863
11,0,1.1,1.1203088,0.28003055
11,0,1.1,1.8698267,0.29753244
12,0,1.2000000000000002,1.3676746,0.24502672
12,0,1.2000000000000002,1.1183102,0.26252863
12,0,1.2000000000000002,1.3475715,0.28003055
13,0,1.3,1.5887966,0.24502672
13,0,1.3,0.98557127,0.26252863
13,0,1.3,0.97721475,0.28003055
13,0,1.3,0.9777343,0.29753244
13,0,1.3,1.3578116,0.31503436
14,0,1.4000000000000001,1.7786412,0.26252863
14,0,1.4000000000000001,0.8422418,0.28003055
14,0,1.4000000000000001,0.8355313,0.29753244
14,0,1.4000000000000001,0.834,0.31503436
14,0,1.4000000000000001,0.8385387,0.33253628
15,0,1.5,2.1116445,0.26252863
15,0,1.5,0.84208554,0.28003055
15,0,1.5,0.8354646,0.29753244
15,0,1.5,0.834,0.31503436
15,0,1.5,0.83856267,0.33253628
15,0,1.5,2.4395633,0.35003817
