Step,Car_X,Car_Y,Lidar_Range,Lidar_Bearing
1,0,0.1,1.5743233,0.21002291
2,0,0.2,1.5756227,0.22752482
3,0,0.30000000000000004,1.5756227,0.22752482
4,0,0.4,1.5756227,0.22752482
5,0,0.5,1.5756227,0.22752482
6,0,0.6000000000000001,1.5310692,0.24502672
7,0,0.7000000000000001,1.4408497,0.24502672
8,0,0.8,1.4428943,0.24502672
9,0,0.9,1.32,0.24502672
10,0,1.0,1.3181802,0.24502672
11,0,1.1,1.132305,0.26252863
12,0,1.2000000000000002,1.0085431,0.28003055
13,0,1.3,0.87262195,0.29753244
14,0,1.4000000000000001,0.8726323,0.29753244
15,0,1.5,0.732,0.33253628
16,0,1.6,0.732,0.33253628
17,0,1.7000000000000002,0.594,0.3675401
18,0,1.8,0.455018,0.52505726
19,0,1.9000000000000001,0.45603654,0.52505726
20,0,2.0,0.35835704,1.0151107
21,0,2.1,0.35010377,1.6801833
22,0,2.2,0.3508608,1.6451794
23,0,2.3000000000000003,0.3508608,1.6451794
24,0,2.4000000000000004,0.3508608,1.6451794
25,0,2.5,0.3508608,1.6451794
26,0,2.6,0.3508608,1.6451794
27,0,2.7,0.3508608,1.6451794
28,0,2.8000000000000003,0.3508608,1.6451794
29,0,2.9000000000000004,0.3508608,1.6451794
30,0,3.0,0.3508608,1.6451794
31,0,3.1,0.3508608,1.6451794
32,0,3.2,0.3508608,1.6451794
33,0,3.3000000000000003,0.3508608,1.6451794
34,0,3.4000000000000004,0.3508608,1.6451794
35,0,3.5,0.3508608,1.6451794
36,0,3.6,0.3508608,1.6451794
37,0,3.7,0.3508608,1.6451794
38,0,3.8000000000000003,0.3508608,1.6451794
39,0,3.9000000000000004,0.3508608,1.6451794
40,0,4.0,0.3508608,1.6451794
41,0,4.1000000000000005,0.3508608,1.6451794
42,0,4.2,0.3508608,1.6451794
43,0,4.3,0.3508608,1.6451794
44,0,4.4,0.3508608,1.6451794
45,0,4.5,0.3508608,1.6451794
46,0,4.6000000000000005,0.3508608,1.6451794
47,0,4.7,0.3508608,1.6451794
48,0,4.800000000000001,0.3508608,1.6451794
49,0,4.9,0.3508608,1.6451794
50,0,5.0,0.3508608,1.6451794
51,0,5.1000000000000005,0.3508608,1.6451794
52,0,5.2,0.3508608,1.6451794
53,0,5.300000000000001,0.3508608,1.6451794
54,0,5.4,0.3508608,1.6451794
55,0,5.5,0.3508608,1.6451794
56,0,5.6000000000000005,0.3508608,1.6451794
57,0,5.7,0.3508608,1.6451794
58,0,5.800000000000001,0.3508608,1.6451794
59,0,5.9,0.3508608,1.6451794
60,0,6.0,0.3508608,1.6451794
61,0,6.1000000000000005,0.3508608,1.6451794
62,0,6.2,0.3508608,1.6451794
63,0,6.300000000000001,0.3508608,1.6451794
64,0,6.4,0.3508608,1.6451794
65,0,6.5,0.3508608,1.6451794
66,0,6.6000000000000005,0.3508608,1.6451794
67,0,6.7,0.3508608,1.6451794
68,0,6.800000000000001,0.3508608,1.6451794
69,0,6.9,0.3508608,1.6451794
70,0,7.0,0.3508608,1.6451794
71,0,7.1000000000000005,0.57,2.677792
72,0,7.2,0.5687451,2.677792
74,0,7.4,0.594048,0.052505728
75,0,7.5,0.5468685,0.22752482
76,0,7.6000000000000005,0.4270565,0.84009165
77,0,7.7,0.43239573,0.8050878
78,0,7.800000000000001,0.4078923,1.5226661
79,0,7.9,0.4494516,2.0302215
80,0,8.0,0.5610267,2.485271
81,0,8.1,0.56,2.485271
82,0,8.200000000000001,0.704,2.852811
83,0,8.3,0.704,2.852811
84,0,8.4,0.84855443,3.1503437
85,0,8.5,0.99002886,3.447876
86,0,8.6,0.9902085,3.447876
87,0,8.700000000000001,1.1021824,3.675401
88,0,8.8,1.19,3.9204276
89,0,8.9,1.192,3.9204276
90,0,9.0,1.25,4.1479526
91,0,9.1,1.2728666,4.3754773
92,0,9.200000000000001,1.2747684,4.3754773
93,0,9.3,1.2925069,4.4979906
94,0,9.4,1.328,4.480489
95,0,9.5,1.3770419,4.410481
96,0,9.600000000000001,1.3828061,4.427983
97,0,9.700000000000001,1.4399871,4.3579755
98,0,9.8,1.5112004,4.2879677
99,0,9.9,1.5107204,4.2879677
100,0,10.0,1.5992379,4.2879677
101,0,10.100000000000001,1.6091145,4.235462
102,0,10.200000000000001,1.688,4.1479526
103,0,10.3,1.8026382,4.0779448
105,0,10.5,1.9228858,4.0254393
106,0,10.600000000000001,2.033865,3.9554315
107,0,10.700000000000001,2.0256855,3.9729333
108,0,10.8,2.1570816,3.9379294
109,0,10.9,2.1656132,3.9204276
110,0,11.0,2.277357,3.885424
111,0,11.100000000000001,2.424,3.85042
113,0,11.3,2.546772,3.815416
115,0,11.5,2.8013554,3.7629104
116,0,11.600000000000001,2.8011587,3.7629104
117,0,11.700000000000001,2.9384756,3.7454085
123,0,12.3,3.6714609,3.675401
124,0,12.4,3.6127722,3.657899
128,0,12.8,3.865929,3.6228952
